ResourceID,Geo,Period,Label1,Label2,Label3,Value,Unit,Measure,Multiplier
CPWEE1,,2011-10-09,Under 30,,,14,Number,Registered deaths,0
CPWEE1,,2011-10-16,30 to 59,,,57,Number,Registered deaths,0
CPWEE1,,2011-10-16,60 to 79,,,173,Number,Registered deaths,0
CPWEE1,,2011-10-16,80 and over,,,311,Number,Registered deaths,0
CPWEE1,,2011-10-16,Total,,,560,Number,Registered deaths,0
CPWEE1,,2011-10-16,Under 30,,,19,Number,Registered deaths,0
CPWEE1,,2011-10-23,30 to 59,,,74,Number,Registered deaths,0
CPWEE1,,2011-10-23,60 to 79,,,184,Number,Registered deaths,0
CPWEE1,,2011-10-23,80 and over,,,302,Number,Registered deaths,0
CPWEE1,,2011-10-23,Total,,,579,Number,Registered deaths,0
CPWEE1,,2011-10-23,Under 30,,,19,Number,Registered deaths,0
CPWEE1,,2011-10-30,30 to 59,,,74,Number,Registered deaths,0
CPWEE1,,2011-10-30,60 to 79,,,182,Number,Registered deaths,0
CPWEE1,,2011-10-30,80 and over,,,277,Number,Registered deaths,0
CPWEE1,,2011-10-30,Total,,,555,Number,Registered deaths,0
CPWEE1,,2011-10-30,Under 30,,,22,Number,Registered deaths,0
CPWEE1,,2011-11-06,30 to 59,,,83,Number,Registered deaths,0
CPWEE1,,2011-11-06,60 to 79,,,208,Number,Registered deaths,0
CPWEE1,,2011-11-06,80 and over,,,280,Number,Registered deaths,0
CPWEE1,,2011-11-06,Total,,,587,Number,Registered deaths,0
CPWEE1,,2011-11-06,Under 30,,,16,Number,Registered deaths,0
CPWEE1,,2011-11-13,30 to 59,,,66,Number,Registered deaths,0
CPWEE1,,2011-11-13,60 to 79,,,193,Number,Registered deaths,0
CPWEE1,,2011-11-13,80 and over,,,329,Number,Registered deaths,0
CPWEE1,,2011-11-13,Total,,,609,Number,Registered deaths,0
CPWEE1,,2011-11-13,Under 30,,,21,Number,Registered deaths,0
CPWEE1,,2011-11-20,30 to 59,,,68,Number,Registered deaths,0
CPWEE1,,2011-11-20,60 to 79,,,196,Number,Registered deaths,0
CPWEE1,,2011-11-20,80 and over,,,262,Number,Registered deaths,0
CPWEE1,,2011-11-20,Total,,,541,Number,Registered deaths,0
CPWEE1,,2011-11-20,Under 30,,,15,Number,Registered deaths,0
CPWEE1,,2011-11-27,30 to 59,,,89,Number,Registered deaths,0
CPWEE1,,2011-11-27,60 to 79,,,214,Number,Registered deaths,0
CPWEE1,,2011-11-27,80 and over,,,267,Number,Registered deaths,0
CPWEE1,,2011-11-27,Total,,,581,Number,Registered deaths,0
CPWEE1,,2011-11-27,Under 30,,,11,Number,Registered deaths,0
CPWEE1,,2011-12-04,30 to 59,,,63,Number,Registered deaths,0
CPWEE1,,2011-12-04,60 to 79,,,172,Number,Registered deaths,0
CPWEE1,,2011-12-04,80 and over,,,275,Number,Registered deaths,0
CPWEE1,,2011-12-04,Total,,,528,Number,Registered deaths,0
CPWEE1,,2011-12-04,Under 30,,,18,Number,Registered deaths,0
CPWEE1,,2011-12-11,30 to 59,,,67,Number,Registered deaths,0
CPWEE1,,2011-12-11,60 to 79,,,184,Number,Registered deaths,0
CPWEE1,,2011-12-11,80 and over,,,232,Number,Registered deaths,0
CPWEE1,,2011-12-11,Total,,,503,Number,Registered deaths,0
CPWEE1,,2011-12-11,Under 30,,,20,Number,Registered deaths,0
CPWEE1,,2011-12-18,30 to 59,,,61,Number,Registered deaths,0
CPWEE1,,2011-12-18,60 to 79,,,217,Number,Registered deaths,0
CPWEE1,,2011-12-18,80 and over,,,266,Number,Registered deaths,0
CPWEE1,,2011-12-18,Total,,,566,Number,Registered deaths,0
CPWEE1,,2011-12-18,Under 30,,,22,Number,Registered deaths,0
CPWEE1,,2011-12-25,30 to 59,,,60,Number,Registered deaths,0
CPWEE1,,2011-12-25,60 to 79,,,184,Number,Registered deaths,0
CPWEE1,,2011-12-25,80 and over,,,309,Number,Registered deaths,0
CPWEE1,,2011-12-25,Total,,,570,Number,Registered deaths,0
CPWEE1,,2011-12-25,Under 30,,,17,Number,Registered deaths,0
CPWEE1,,2012-01-01,30 to 59,,,79,Number,Registered deaths,0
CPWEE1,,2012-01-01,60 to 79,,,211,Number,Registered deaths,0
CPWEE1,,2012-01-01,80 and over,,,260,Number,Registered deaths,0
CPWEE1,,2012-01-01,Total,,,564,Number,Registered deaths,0
CPWEE1,,2012-01-01,Under 30,,,14,Number,Registered deaths,0
CPWEE1,,2012-01-08,30 to 59,,,69,Number,Registered deaths,0
CPWEE1,,2012-01-08,60 to 79,,,176,Number,Registered deaths,0
CPWEE1,,2012-01-08,80 and over,,,257,Number,Registered deaths,0
CPWEE1,,2012-01-08,Total,,,516,Number,Registered deaths,0
CPWEE1,,2012-01-08,Under 30,,,14,Number,Registered deaths,0
CPWEE1,,2012-01-15,30 to 59,,,74,Number,Registered deaths,0
CPWEE1,,2012-01-15,60 to 79,,,176,Number,Registered deaths,0
CPWEE1,,2012-01-15,80 and over,,,280,Number,Registered deaths,0
CPWEE1,,2012-01-15,Total,,,544,Number,Registered deaths,0
CPWEE1,,2012-01-15,Under 30,,,14,Number,Registered deaths,0
CPWEE1,,2012-01-22,30 to 59,,,96,Number,Registered deaths,0
CPWEE1,,2012-01-22,60 to 79,,,149,Number,Registered deaths,0
CPWEE1,,2012-01-22,80 and over,,,269,Number,Registered deaths,0
CPWEE1,,2012-01-22,Total,,,532,Number,Registered deaths,0
CPWEE1,,2012-01-22,Under 30,,,18,Number,Registered deaths,0
CPWEE1,,2012-01-29,30 to 59,,,76,Number,Registered deaths,0
CPWEE1,,2012-01-29,60 to 79,,,165,Number,Registered deaths,0
CPWEE1,,2012-01-29,80 and over,,,247,Number,Registered deaths,0
CPWEE1,,2012-01-29,Total,,,508,Number,Registered deaths,0
CPWEE1,,2012-01-29,Under 30,,,20,Number,Registered deaths,0
CPWEE1,,2012-02-05,30 to 59,,,60,Number,Registered deaths,0
CPWEE1,,2012-02-05,60 to 79,,,200,Number,Registered deaths,0
CPWEE1,,2012-02-05,80 and over,,,244,Number,Registered deaths,0
CPWEE1,,2012-02-05,Total,,,520,Number,Registered deaths,0
CPWEE1,,2012-02-05,Under 30,,,16,Number,Registered deaths,0
CPWEE1,,2012-02-12,30 to 59,,,65,Number,Registered deaths,0
CPWEE1,,2012-02-12,60 to 79,,,189,Number,Registered deaths,0
CPWEE1,,2012-02-12,80 and over,,,216,Number,Registered deaths,0
CPWEE1,,2012-02-12,Total,,,499,Number,Registered deaths,0
CPWEE1,,2012-02-12,Under 30,,,29,Number,Registered deaths,0
CPWEE1,,2012-02-19,30 to 59,,,78,Number,Registered deaths,0
CPWEE1,,2012-02-19,60 to 79,,,186,Number,Registered deaths,0
CPWEE1,,2012-02-19,80 and over,,,238,Number,Registered deaths,0
CPWEE1,,2012-02-19,Total,,,520,Number,Registered deaths,0
CPWEE1,,2012-02-19,Under 30,,,18,Number,Registered deaths,0
CPWEE1,,2012-02-26,30 to 59,,,62,Number,Registered deaths,0
CPWEE1,,2012-02-26,60 to 79,,,167,Number,Registered deaths,0
CPWEE1,,2012-02-26,80 and over,,,273,Number,Registered deaths,0
CPWEE1,,2012-02-26,Total,,,520,Number,Registered deaths,0
CPWEE1,,2012-02-26,Under 30,,,18,Number,Registered deaths,0
CPWEE1,,2012-03-04,30 to 59,,,59,Number,Registered deaths,0
CPWEE1,,2012-03-04,60 to 79,,,184,Number,Registered deaths,0
CPWEE1,,2012-03-04,80 and over,,,239,Number,Registered deaths,0
CPWEE1,,2012-03-04,Total,,,494,Number,Registered deaths,0
CPWEE1,,2012-03-04,Under 30,,,12,Number,Registered deaths,0
CPWEE1,,2012-03-11,30 to 59,,,57,Number,Registered deaths,0
CPWEE1,,2012-03-11,60 to 79,,,167,Number,Registered deaths,0
CPWEE1,,2012-03-11,80 and over,,,280,Number,Registered deaths,0
CPWEE1,,2012-03-11,Total,,,519,Number,Registered deaths,0
CPWEE1,,2012-03-11,Under 30,,,15,Number,Registered deaths,0
CPWEE1,,2012-03-18,30 to 59,,,66,Number,Registered deaths,0
CPWEE1,,2012-03-18,60 to 79,,,167,Number,Registered deaths,0
CPWEE1,,2012-03-18,80 and over,,,256,Number,Registered deaths,0
CPWEE1,,2012-03-18,Total,,,500,Number,Registered deaths,0
CPWEE1,,2012-03-18,Under 30,,,11,Number,Registered deaths,0
CPWEE1,,2012-03-25,30 to 59,,,58,Number,Registered deaths,0
CPWEE1,,2012-03-25,60 to 79,,,200,Number,Registered deaths,0
CPWEE1,,2012-03-25,80 and over,,,271,Number,Registered deaths,0
CPWEE1,,2012-03-25,Total,,,546,Number,Registered deaths,0
CPWEE1,,2012-03-25,Under 30,,,17,Number,Registered deaths,0
CPWEE1,,2012-04-01,30 to 59,,,73,Number,Registered deaths,0
CPWEE1,,2012-04-01,60 to 79,,,196,Number,Registered deaths,0
CPWEE1,,2012-04-01,80 and over,,,254,Number,Registered deaths,0
CPWEE1,,2012-04-01,Total,,,543,Number,Registered deaths,0
CPWEE1,,2012-04-01,Under 30,,,20,Number,Registered deaths,0
CPWEE1,,2012-04-08,30 to 59,,,54,Number,Registered deaths,0
CPWEE1,,2012-04-08,60 to 79,,,163,Number,Registered deaths,0
CPWEE1,,2012-04-08,80 and over,,,254,Number,Registered deaths,0
CPWEE1,,2012-04-08,Total,,,488,Number,Registered deaths,0
CPWEE1,,2012-04-08,Under 30,,,17,Number,Registered deaths,0
CPWEE1,,2012-04-15,30 to 59,,,59,Number,Registered deaths,0
CPWEE1,,2012-04-15,60 to 79,,,202,Number,Registered deaths,0
CPWEE1,,2012-04-15,80 and over,,,260,Number,Registered deaths,0
CPWEE1,,2012-04-15,Total,,,532,Number,Registered deaths,0
CPWEE1,,2012-04-15,Under 30,,,11,Number,Registered deaths,0
CPWEE1,,2012-04-22,30 to 59,,,60,Number,Registered deaths,0
CPWEE1,,2012-04-22,60 to 79,,,179,Number,Registered deaths,0
CPWEE1,,2012-04-22,80 and over,,,304,Number,Registered deaths,0
CPWEE1,,2012-04-22,Total,,,556,Number,Registered deaths,0
CPWEE1,,2012-04-22,Under 30,,,13,Number,Registered deaths,0
CPWEE1,,2012-04-29,30 to 59,,,54,Number,Registered deaths,0
CPWEE1,,2012-04-29,60 to 79,,,197,Number,Registered deaths,0
CPWEE1,,2012-04-29,80 and over,,,299,Number,Registered deaths,0
CPWEE1,,2012-04-29,Total,,,565,Number,Registered deaths,0
CPWEE1,,2012-04-29,Under 30,,,15,Number,Registered deaths,0
CPWEE1,,2012-05-06,30 to 59,,,65,Number,Registered deaths,0
CPWEE1,,2012-05-06,60 to 79,,,226,Number,Registered deaths,0
CPWEE1,,2012-05-06,80 and over,,,270,Number,Registered deaths,0
CPWEE1,,2012-05-06,Total,,,577,Number,Registered deaths,0
CPWEE1,,2012-05-06,Under 30,,,16,Number,Registered deaths,0
CPWEE1,,2012-05-13,30 to 59,,,68,Number,Registered deaths,0
CPWEE1,,2012-05-13,60 to 79,,,187,Number,Registered deaths,0
CPWEE1,,2012-05-13,80 and over,,,291,Number,Registered deaths,0
CPWEE1,,2012-05-13,Total,,,562,Number,Registered deaths,0
CPWEE1,,2012-05-13,Under 30,,,16,Number,Registered deaths,0
